millis,altp,ax,ay,az
39.400000,1249.270958,-0.000002,0.000016,0.002443
39.500000,1248.565976,-0.000002,0.000015,0.002442
39.600000,1247.861018,-0.000002,0.000014,0.002442
39.700000,1247.156085,-0.000002,0.000014,0.002442
39.800000,1246.451176,-0.000002,0.000013,0.002442
39.900000,1245.746291,-0.000002,0.000012,0.002442
40.000000,1245.041431,-0.000002,0.000011,0.002442
40.100000,1244.336595,-0.000001,0.000010,0.002441
40.200000,1243.631784,-0.000001,0.000010,0.002441
40.300000,1242.926997,-0.000001,0.000009,0.002441
40.400000,1242.222234,-0.000001,0.000008,0.002441
40.500000,1241.517496,-0.000001,0.000007,0.002441
40.600000,1240.812782,-0.000001,0.000006,0.002441
40.700000,1240.108093,-0.000001,0.000006,0.002440
40.800000,1239.403428,-0.000001,0.000005,0.002440
40.900000,1238.698787,-0.000001,0.000004,0.002440
41.000000,1237.994171,-0.000001,0.000003,0.002440
41.100000,1237.289579,-0.000001,0.000002,0.002440
41.200000,1236.585012,-0.000001,0.000001,0.002439
41.300000,1235.880469,-0.000001,0.000001,0.002439
41.400000,1235.175950,-0.000000,-0.000000,0.002439
41.500000,1234.471456,-0.000000,-0.000001,0.002439
41.600000,1233.766986,-0.000000,-0.000002,0.002439
41.700000,1233.062540,-0.000000,-0.000002,0.002439
41.800000,1232.358119,-0.000000,-0.000003,0.002438
41.900000,1231.653722,-0.000000,-0.000004,0.002438
42.000000,1230.949350,-0.000000,-0.000004,0.002438
42.100000,1230.245002,-0.000000,-0.000005,0.002438
42.200000,1229.540678,0.000000,-0.000006,0.002438
42.300000,1228.836379,0.000000,-0.000006,0.002437
42.400000,1228.132104,0.000000,-0.000007,0.002437
42.500000,1227.427853,0.000000,-0.000007,0.002437
42.600000,1226.723627,0.000000,-0.000007,0.002437
42.700000,1226.019425,0.000000,-0.000008,0.002437
42.800000,1225.315248,0.000000,-0.000008,0.002437
42.900000,1224.611095,0.000000,-0.000009,0.002436
43.000000,1223.906966,0.000000,-0.000009,0.002436
43.100000,1223.202861,0.000000,-0.000009,0.002436
43.200000,1222.498781,0.000000,-0.000009,0.002436
43.300000,1221.794726,0.000000,-0.000010,0.002436
43.400000,1221.090694,0.000000,-0.000010,0.002435
43.500000,1220.386688,0.000000,-0.000010,0.002435
43.600000,1219.682705,0.000000,-0.000010,0.002435
43.700000,1218.978747,0.000000,-0.000010,0.002435
43.800000,1218.274813,0.000000,-0.000010,0.002435
43.900000,1217.570903,0.000000,-0.000010,0.002434
44.000000,1216.867018,0.000000,-0.000010,0.002434
44.100000,1216.163157,0.000000,-0.000010,0.002434
44.200000,1215.459321,0.000000,-0.000010,0.002434
44.300000,1214.755509,0.000000,-0.000010,0.002434
44.400000,1214.051721,0.000000,-0.000010,0.002434
44.500000,1213.347957,0.000000,-0.000010,0.002433
44.600000,1212.644218,0.000000,-0.000010,0.002433
44.700000,1211.940504,0.000000,-0.000010,0.002433
44.800000,1211.236813,0.000000,-0.000010,0.002433
44.900000,1210.533147,0.000000,-0.000010,0.002433
45.000000,1209.829505,0.000000,-0.000010,0.002432
45.100000,1209.125888,0.000000,-0.000010,0.002432
45.200000,1208.422295,0.000000,-0.000009,0.002432
45.300000,1207.718726,0.000000,-0.000009,0.002432
45.400000,1207.015181,0.000000,-0.000009,0.002432
45.500000,1206.311661,0.000000,-0.000009,0.002432
45.600000,1205.608166,0.000000,-0.000009,0.002431
45.700000,1204.904694,0.000000,-0.000008,0.002431
45.800000,1204.201247,0.000000,-0.000008,0.002431
45.900000,1203.497824,0.000000,-0.000008,0.002431
46.000000,1202.794426,0.000000,-0.000008,0.002431
46.100000,1202.091051,0.000000,-0.000007,0.002430
46.200000,1201.387702,0.000000,-0.000007,0.002430
46.300000,1200.684376,0.000000,-0.000007,0.002430
46.400000,1199.981075,0.000000,-0.000007,0.002430
46.500000,1199.277798,0.000000,-0.000006,0.002430
46.600000,1198.574545,0.000000,-0.000006,0.002430
46.700000,1197.871317,0.000000,-0.000006,0.002429
46.800000,1197.168113,0.000000,-0.000006,0.002429
46.900000,1196.464933,0.000000,-0.000005,0.002429
47.000000,1195.761778,-0.000000,-0.000005,0.002429
47.100000,1195.058647,-0.000000,-0.000005,0.002429
47.200000,1194.355540,-0.000000,-0.000004,0.002428
47.300000,1193.652458,-0.000000,-0.000004,0.002428
47.400000,1192.949400,-0.000000,-0.000004,0.002428
47.500000,1192.246366,-0.000000,-0.000004,0.002428
47.600000,1191.543356,-0.000000,-0.000003,0.002428
47.700000,1190.840371,-0.000000,-0.000003,0.002428
47.800000,1190.137410,-0.000000,-0.000003,0.002427
47.900000,1189.434473,-0.000000,-0.000003,0.002427
48.000000,1188.731561,-0.000000,-0.000002,0.002427
48.100000,1188.028673,-0.000000,-0.000002,0.002427
48.200000,1187.325809,-0.000000,-0.000002,0.002427
48.300000,1186.622969,-0.000000,-0.000002,0.002426
48.400000,1185.920154,-0.000000,-0.000001,0.002426
48.500000,1185.217363,-0.000000,-0.000001,0.002426
48.600000,1184.514597,-0.000000,-0.000001,0.002426
48.700000,1183.811854,-0.000000,-0.000001,0.002426
48.800000,1183.109136,-0.000000,-0.000001,0.002426
48.900000,1182.406442,-0.000000,-0.000001,0.002425
49.000000,1181.703773,-0.000000,-0.000000,0.002425
49.100000,1181.001127,-0.000000,-0.000000,0.002425
49.200000,1180.298506,-0.000000,-0.000000,0.002425
49.300000,1179.595909,-0.000000,-0.000000,0.002425
49.400000,1178.893337,-0.000000,0.000000,0.002424
49.500000,1178.190789,-0.000000,0.000000,0.002424
49.600000,1177.488264,-0.000000,0.000000,0.002424
49.700000,1176.785765,-0.000001,0.000000,0.002424
49.800000,1176.083289,-0.000001,0.000000,0.002424
49.900000,1175.380838,-0.000001,0.000001,0.002424
50.000000,1174.678410,-0.000001,0.000001,0.002423
50.100000,1173.976007,-0.000001,0.000001,0.002423
50.200000,1173.273629,-0.000001,0.000001,0.002423
50.300000,1172.571274,-0.000001,0.000001,0.002423
50.400000,1171.868944,-0.000001,0.000001,0.002423
50.500000,1171.166638,-0.000001,0.000001,0.002422
